"provinsi","kategori","kode_prov","kode_kategori","variable","value"
"Jawa Barat","Pertanian, Kehutanan, dan Perikanan","32","A","Input Antara Domestik","24765722.672211"
"Jawa Barat","Pertambangan dan Penggalian ","32","B","Input Antara Domestik","11548218.999939"
"Jawa Barat","Industri Pengolahan","32","C","Input Antara Domestik","724178707.11758"
"Jawa Barat","Pengadaan Listrik dan Gas","32","D","Input Antara Domestik","76113519.896253"
"Jawa Barat","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","32","E","Input Antara Domestik","1991375.732003"
"Jawa Barat","Konstruksi","32","F","Input Antara Domestik","132387716.22699"
"Jawa Barat","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","32","G","Input Antara Domestik","87176498.451749"
"Jawa Barat","Transportasi dan Pergudangan ","32","H","Input Antara Domestik","66389028.322058"
"Jawa Barat","Penyediaan Akomodasi dan Makan Minum","32","I","Input Antara Domestik","54487551.087553"
"Jawa Barat","Informasi dan Komunikasi","32","J","Input Antara Domestik","21525539.25545"
"Jawa Barat","Jasa Keuangan dan Asuransi","32","K","Input Antara Domestik","10329538.186984"
"Jawa Barat","Real Estate","32","L","Input Antara Domestik","12535082.512916"
"Jawa Barat","Jasa Perusahaan","32","MN","Input Antara Domestik","18443552.829229"
"Jawa Barat","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","32","O","Input Antara Domestik","15187292.050284"
"Jawa Barat","Jasa Pendidikan","32","P","Input Antara Domestik","20517547.479641"
"Jawa Barat","Jasa Kesehatan dan Kegiatan Sosial","32","Q","Input Antara Domestik","13900474.789061"
"Jawa Barat","Jasa Lainnya","32","RSTU","Input Antara Domestik","15757794.094871"
"Jawa Tengah","Pertanian, Kehutanan, dan Perikanan","33","A","Input Antara Domestik","38827920.380074"
"Jawa Tengah","Pertambangan dan Penggalian ","33","B","Input Antara Domestik","9145399.9637792"
"Jawa Tengah","Industri Pengolahan","33","C","Input Antara Domestik","302990623.4036"
"Jawa Tengah","Pengadaan Listrik dan Gas","33","D","Input Antara Domestik","25148012.640295"
"Jawa Tengah","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","33","E","Input Antara Domestik","802689.24363538"
"Jawa Tengah","Konstruksi","33","F","Input Antara Domestik","118535159.32067"
"Jawa Tengah","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","33","G","Input Antara Domestik","58547064.155912"
"Jawa Tengah","Transportasi dan Pergudangan ","33","H","Input Antara Domestik","35156114.226367"
"Jawa Tengah","Penyediaan Akomodasi dan Makan Minum","33","I","Input Antara Domestik","44373227.078839"
"Jawa Tengah","Informasi dan Komunikasi","33","J","Input Antara Domestik","16712516.440502"
"Jawa Tengah","Jasa Keuangan dan Asuransi","33","K","Input Antara Domestik","6007729.0926936"
"Jawa Tengah","Real Estate","33","L","Input Antara Domestik","5521048.512809"
"Jawa Tengah","Jasa Perusahaan","33","MN","Input Antara Domestik","4269421.2202255"
"Jawa Tengah","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","33","O","Input Antara Domestik","10434325.389543"
"Jawa Tengah","Jasa Pendidikan","33","P","Input Antara Domestik","13702826.608632"
"Jawa Tengah","Jasa Kesehatan dan Kegiatan Sosial","33","Q","Input Antara Domestik","10301108.217372"
"Jawa Tengah","Jasa Lainnya","33","RSTU","Input Antara Domestik","12973483.152652"
"DI Yogyakarta","Pertanian, Kehutanan, dan Perikanan","34","A","Input Antara Domestik","1811621.8723537"
"DI Yogyakarta","Pertambangan dan Penggalian ","34","B","Input Antara Domestik","173145.74297587"
"DI Yogyakarta","Industri Pengolahan","34","C","Input Antara Domestik","15480065.176294"
"DI Yogyakarta","Pengadaan Listrik dan Gas","34","D","Input Antara Domestik","870031.59006536"
"DI Yogyakarta","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","34","E","Input Antara Domestik","60471.147749629"
"DI Yogyakarta","Konstruksi","34","F","Input Antara Domestik","6441463.8707236"
"DI Yogyakarta","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","34","G","Input Antara Domestik","2870692.2011531"
"DI Yogyakarta","Transportasi dan Pergudangan ","34","H","Input Antara Domestik","8430101.8617234"
"DI Yogyakarta","Penyediaan Akomodasi dan Makan Minum","34","I","Input Antara Domestik","7414564.0464101"
"DI Yogyakarta","Informasi dan Komunikasi","34","J","Input Antara Domestik","3502692.6934288"
"DI Yogyakarta","Jasa Keuangan dan Asuransi","34","K","Input Antara Domestik","740405.58869065"
"DI Yogyakarta","Real Estate","34","L","Input Antara Domestik","1189722.5831152"
"DI Yogyakarta","Jasa Perusahaan","34","MN","Input Antara Domestik","1460531.7943574"
"DI Yogyakarta","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","34","O","Input Antara Domestik","4525725.5811581"
"DI Yogyakarta","Jasa Pendidikan","34","P","Input Antara Domestik","2740786.8252495"
"DI Yogyakarta","Jasa Kesehatan dan Kegiatan Sosial","34","Q","Input Antara Domestik","1559046.1098462"
"DI Yogyakarta","Jasa Lainnya","34","RSTU","Input Antara Domestik","1427902.5067491"
"Jawa Timur","Pertanian, Kehutanan, dan Perikanan","35","A","Input Antara Domestik","42008110.657626"
"Jawa Timur","Pertambangan dan Penggalian ","35","B","Input Antara Domestik","16601469.691956"
"Jawa Timur","Industri Pengolahan","35","C","Input Antara Domestik","451408261.69898"
"Jawa Timur","Pengadaan Listrik dan Gas","35","D","Input Antara Domestik","50620528.486919"
"Jawa Timur","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","35","E","Input Antara Domestik","734820.86482809"
"Jawa Timur","Konstruksi","35","F","Input Antara Domestik","161059186.78247"
"Jawa Timur","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","35","G","Input Antara Domestik","79937126.132019"
"Jawa Timur","Transportasi dan Pergudangan ","35","H","Input Antara Domestik","48603847.944967"
"Jawa Timur","Penyediaan Akomodasi dan Makan Minum","35","I","Input Antara Domestik","51891763.526725"
"Jawa Timur","Informasi dan Komunikasi","35","J","Input Antara Domestik","38263764.479391"
"Jawa Timur","Jasa Keuangan dan Asuransi","35","K","Input Antara Domestik","13488801.346123"
"Jawa Timur","Real Estate","35","L","Input Antara Domestik","13527315.028289"
"Jawa Timur","Jasa Perusahaan","35","MN","Input Antara Domestik","22182312.935234"
"Jawa Timur","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","35","O","Input Antara Domestik","17727968.268492"
"Jawa Timur","Jasa Pendidikan","35","P","Input Antara Domestik","19642033.937551"
"Jawa Timur","Jasa Kesehatan dan Kegiatan Sosial","35","Q","Input Antara Domestik","14601342.120496"
"Jawa Timur","Jasa Lainnya","35","RSTU","Input Antara Domestik","21763474.463347"
"Banten","Pertanian, Kehutanan, dan Perikanan","36","A","Input Antara Domestik","3414573.960496"
"Banten","Pertambangan dan Penggalian ","36","B","Input Antara Domestik","1302091.6684394"
"Banten","Industri Pengolahan","36","C","Input Antara Domestik","108555609.457"
"Banten","Pengadaan Listrik dan Gas","36","D","Input Antara Domestik","32395355.762751"
"Banten","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","36","E","Input Antara Domestik","573660.0687307"
"Banten","Konstruksi","36","F","Input Antara Domestik","29661940.346173"
"Banten","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","36","G","Input Antara Domestik","18501143.606717"
"Banten","Transportasi dan Pergudangan ","36","H","Input Antara Domestik","58163721.71789"
"Banten","Penyediaan Akomodasi dan Makan Minum","36","I","Input Antara Domestik","12149700.937738"
"Banten","Informasi dan Komunikasi","36","J","Input Antara Domestik","8448827.6041172"
"Banten","Jasa Keuangan dan Asuransi","36","K","Input Antara Domestik","2613141.115993"
"Banten","Real Estate","36","L","Input Antara Domestik","12961510.577215"
"Banten","Jasa Perusahaan","36","MN","Input Antara Domestik","4684923.4403835"
"Banten","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","36","O","Input Antara Domestik","5708991.701243"
"Banten","Jasa Pendidikan","36","P","Input Antara Domestik","5258052.174726"
"Banten","Jasa Kesehatan dan Kegiatan Sosial","36","Q","Input Antara Domestik","2089648.2469512"
"Banten","Jasa Lainnya","36","RSTU","Input Antara Domestik","2039160.2662687"
"Bali","Pertanian, Kehutanan, dan Perikanan","51","A","Input Antara Domestik","3230508.59643"
"Bali","Pertambangan dan Penggalian ","51","B","Input Antara Domestik","417494.48166774"
"Bali","Industri Pengolahan","51","C","Input Antara Domestik","10602248.116993"
"Bali","Pengadaan Listrik dan Gas","51","D","Input Antara Domestik","5625806.4035495"
"Bali","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","51","E","Input Antara Domestik","182743.12037525"
"Bali","Konstruksi","51","F","Input Antara Domestik","12699178.691127"
"Bali","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","51","G","Input Antara Domestik","6254588.4603997"
"Bali","Transportasi dan Pergudangan ","51","H","Input Antara Domestik","13255964.4407"
"Bali","Penyediaan Akomodasi dan Makan Minum","51","I","Input Antara Domestik","17683387.520244"
"Bali","Informasi dan Komunikasi","51","J","Input Antara Domestik","5251054.0003906"
"Bali","Jasa Keuangan dan Asuransi","51","K","Input Antara Domestik","1906667.8700703"
"Bali","Real Estate","51","L","Input Antara Domestik","3149983.0720133"
"Bali","Jasa Perusahaan","51","MN","Input Antara Domestik","2849177.016624"
